OID,Id,ORIG_FID,vbdsf1,vbdsf2,vbdsf3,vbdsf4,vbdsf5,vbdsf6,vbdsf7,vbdsf8,vbdsf9,vbdsf10,vbdsf11,vbdsf12
7960,49937,11083,18.77328873,35.97661591,64.33328247,88.17662048,106.9366226,117.3332901,111.7066269,102.049942,74.09661102,43.40995789,23.08661842,14.68662071
7961,49938,11084,18.77328873,35.97661591,64.33328247,88.17662048,106.9366226,117.3332901,111.7066269,102.049942,74.09661102,43.40995789,23.08661842,14.68662071
7962,49939,11085,19.91329002,37.95328522,66.37994385,90.73327637,110.8966141,120.2399368,113.1166153,103.4133072,75.77328491,45.31328964,24.36995506,15.44995213
7963,49940,11086,19.91329002,37.95328522,66.37994385,90.73327637,110.8966141,120.2399368,113.1166153,103.4133072,75.77328491,45.31328964,24.36995506,15.44995213
7964,49941,11087,18.50995064,35.72661591,63.66328812,88.3499527,107.9366226,119.8899384,113.7399673,103.2732773,74.11660767,43.83662033,23.38661766,14.50328541
7965,49942,11088,16.38328552,31.92662239,59.08995056,84.63328552,104.279953,117.0566101,111.7466202,101.2666245,71.11328125,41.29662323,21.53995323,12.81328392
7966,49943,11089,16.38328552,31.92662239,59.08995056,84.63328552,104.279953,117.0566101,111.7466202,101.2666245,71.11328125,41.29662323,21.53995323,12.81328392
7967,49944,11090,13.49661732,26.53328514,52.61328506,79.53662872,99.92996979,111.6166229,107.186615,97.38993835,66.77661133,37.69661331,18.81995201,10.40995407
7968,49945,11091,13.49661732,26.53328514,52.61328506,79.53662872,99.92996979,111.6166229,107.186615,97.38993835,66.77661133,37.69661331,18.81995201,10.40995407
7969,49946,11092,16.77328682,31.48328209,58.08995819,84.5999527,106.526619,115.0599594,108.3099594,97.01329041,67.93328094,40.75994492,21.23661995,12.56995487
7970,49947,11093,16.77328682,31.48328209,58.08995819,84.5999527,106.526619,115.0599594,108.3099594,97.01329041,67.93328094,40.75994492,21.23661995,12.56995487
7971,49948,11094,20.58328629,37.54328537,64.85662842,91.12329865,113.1366196,118.1332932,110.2266312,98.18995667,71.08329773,44.72995758,24.31328774,15.3066206
7972,49949,11095,20.58328629,37.54328537,64.85662842,91.12329865,113.1366196,118.1332932,110.2266312,98.18995667,71.08329773,44.72995758,24.31328774,15.3066206
7973,49950,11096,24.95995331,44.69995499,72.87661743,99.1632843,119.779953,120.8032684,112.9832764,100.9532776,76.23995209,49.59328461,28.05328941,18.60662079
