OID,Id,ORIG_FID,nbdsf1,nbdsf2,nbdsf3,nbdsf4,nbdsf5,nbdsf6,nbdsf7,nbdsf8,nbdsf9,nbdsf10,nbdsf11,nbdsf12
139,53873,13609,6.849953175,19.15662003,38.67328262,67.95662689,88.60997009,91.03327942,84.48329163,68.21661377,44.31661224,23.40328789,9.60995388,4.4632864
140,53874,13610,6.993287086,19.09328651,38.66662598,67.529953,88.33328247,90.95661926,84.50661469,68.14994812,44.04662323,23.22661781,9.7132864,4.616620541
141,53875,13611,6.993287086,19.09328651,38.66662598,67.529953,88.33328247,90.95661926,84.50661469,68.14994812,44.04662323,23.22661781,9.7132864,4.616620541
142,53876,13612,7.793287277,20.45662308,40.88662338,68.49995422,88.87995148,90.59326935,84.44328308,67.80328369,43.90994644,23.78995514,10.34328651,5.139953136
143,53877,13613,7.793287277,20.45662308,40.88662338,68.49995422,88.87995148,90.59326935,84.44328308,67.80328369,43.90994644,23.78995514,10.34328651,5.139953136
144,53878,13614,8.946620941,22.94994926,45.06663132,71.73661804,90.93328094,92.05327606,85.01995087,68.02328491,44.6932869,25.31661797,11.36995316,6.076620579
145,53879,13615,8.946620941,22.94994926,45.06663132,71.73661804,90.93328094,92.05327606,85.01995087,68.02328491,44.6932869,25.31661797,11.36995316,6.076620579
146,53880,13616,9.623287201,24.10661888,47.50328445,73.35327911,91.47995758,93.08995819,85.60327911,67.81661987,45.21995544,26.26662064,11.95662117,6.609954357
147,53881,13617,9.623287201,24.10661888,47.50328445,73.35327911,91.47995758,93.08995819,85.60327911,67.81661987,45.21995544,26.26662064,11.95662117,6.609954357
148,53882,13618,9.816622734,23.96661949,48.1632843,73.31993866,90.483284,93.70662689,86.23995972,67.20661926,45.45662689,26.64995193,12.06328774,6.729954243
149,53883,13619,9.816622734,23.96661949,48.1632843,73.31993866,90.483284,93.70662689,86.23995972,67.20661926,45.45662689,26.64995193,12.06328774,6.729954243
150,53884,13620,9.033286095,21.71661758,45.45662308,70.79994965,88.92995453,93.80995941,86.77327728,66.45995331,44.76662064,25.52661514,11.31662083,6.243287563
151,53885,13621,9.033286095,21.71661758,45.45662308,70.79994965,88.92995453,93.80995941,86.77327728,66.45995331,44.76662064,25.52661514,11.31662083,6.243287563
152,53886,13622,8.616621017,20.30661964,43.57995224,68.93328094,87.54328918,93.5799408,86.88328552,65.63996124,44.46995163,24.53328514,10.8999548,5.949953556
153,53887,13623,8.549954414,19.70661736,42.59328842,67.71329498,86.33995056,93.01662445,86.56328583,64.72995758,44.57328415,23.71661758,10.79995346,5.803287029
154,53888,13624,8.549954414,19.70661736,42.59328842,67.71329498,86.33995056,93.01662445,86.56328583,64.72995758,44.57328415,23.71661758,10.79995346,5.803287029
155,53889,13625,9.276621819,21.29995155,44.3199501,69.5999527,87.47328186,93.76997375,87.28661346,65.31328583,45.14995193,23.77662277,11.28328609,6.213287354
156,53890,13626,9.276621819,21.29995155,44.3199501,69.5999527,87.47328186,93.76997375,87.28661346,65.31328583,45.14995193,23.77662277,11.28328609,6.213287354
157,53891,13627,9.789953232,22.42661858,45.61328125,71.19995117,88.24996185,94.45327759,87.61995697,65.71994781,45.63661957,23.95995331,11.61995316,6.486620426
158,53892,13628,9.789953232,22.42661858,45.61328125,71.19995117,88.24996185,94.45327759,87.61995697,65.71994781,45.63661957,23.95995331,11.61995316,6.486620426
159,53893,13629,10.07995319,23.00995255,46.44995117,72.54328918,88.68661499,95.0999527,87.5666275,65.92329407,46.01328659,24.25328445,11.81995487,6.629953861
160,53894,13630,10.07995319,23.00995255,46.44995117,72.54328918,88.68661499,95.0999527,87.5666275,65.92329407,46.01328659,24.25328445,11.81995487,6.629953861
161,53895,13631,9.346619606,21.66995621,44.77662277,70.95328522,88.78993988,95.11994934,87.50996399,66.87328339,45.82995987,23.73995399,11.26662064,6.116620541
162,53896,13632,9.346619606,21.66995621,44.77662277,70.95328522,88.78993988,95.11994934,87.50996399,66.87328339,45.82995987,23.73995399,11.26662064,6.116620541
163,53897,13633,8.446620941,19.90328789,42.66995621,69.41661835,88.42329407,95.1432724,87.3499527,67.43995667,45.56328201,23.14995575,10.54661846,5.443286419
164,53898,13634,8.446620941,19.90328789,42.66995621,69.41661835,88.42329407,95.1432724,87.3499527,67.43995667,45.56328201,23.14995575,10.54661846,5.443286419
165,53899,13635,7.333287239,17.70662117,40.11661911,67.92995453,87.54662323,95.15994263,87.13993835,67.62328339,45.18995667,22.44328499,9.636620522,4.606620312
166,53900,13636,7.333287239,17.70662117,40.11661911,67.92995453,87.54662323,95.15994263,87.13993835,67.62328339,45.18995667,22.44328499,9.636620522,4.606620312
167,53901,13637,6.786620617,17.06661606,38.59994888,67.05662537,87.05994415,95.38328552,87.19328308,68.00661469,45.02662277,21.87661743,9.209955215,4.126620293
168,53902,13638,6.689953327,17.33995628,38.12328339,66.87329102,86.6166153,95.39994812,87.26995087,68.66661072,44.75661469,21.67328644,9.069954872,3.923286915
169,53903,13639,6.689953327,17.33995628,38.12328339,66.87329102,86.6166153,95.39994812,87.26995087,68.66661072,44.75661469,21.67328644,9.069954872,3.923286915
