OID,Id,ORIG_FID,nddsf1,nddsf2,nddsf3,nddsf4,nddsf5,nddsf6,nddsf7,nddsf8,nddsf9,nddsf10,nddsf11,nddsf12
149,53883,13619,6.149953842,13.17328453,23.60995293,29.62661934,31.40661621,32.13995361,29.33995247,25.19328499,20.58662033,13.37995434,7.763286114,4.366619587
150,53884,13620,6.753286839,14.17328548,25.19995308,30.48661613,31.98328018,32.07661819,29.17662239,25.28661919,20.68994713,13.82328701,8.166621208,4.70661974
151,53885,13621,6.753286839,14.17328548,25.19995308,30.48661613,31.98328018,32.07661819,29.17662239,25.28661919,20.68994713,13.82328701,8.166621208,4.70661974
152,53886,13622,7.133286953,14.77328682,26.22328758,31.1466198,32.63328552,32.07995224,29.41995621,25.41995239,20.7499485,14.20661926,8.42661953,4.929953575
153,53887,13623,7.276619911,14.92661953,26.68328285,31.62328339,33.40662003,32.15662003,30.03328514,25.55328751,20.81995392,14.49995232,8.529953003,5.033286095
154,53888,13624,7.276619911,14.92661953,26.68328285,31.62328339,33.40662003,32.15662003,30.03328514,25.55328751,20.81995392,14.49995232,8.529953003,5.033286095
155,53889,13625,6.879953861,13.72661877,25.95662308,31.64995193,33.37661743,31.95328522,29.96661949,25.53328896,20.91995239,14.72661972,8.296619415,4.809952736
156,53890,13626,6.879953861,13.72661877,25.95662308,31.64995193,33.37661743,31.95328522,29.96661949,25.53328896,20.91995239,14.72661972,8.296619415,4.809952736
157,53891,13627,6.59662056,12.95995045,25.38662529,31.50995445,33.44994736,31.74661636,30.16995049,25.62328339,20.91662025,14.88995266,8.119953156,4.629952908
158,53892,13628,6.59662056,12.95995045,25.38662529,31.50995445,33.44994736,31.74661636,30.16995049,25.62328339,20.91662025,14.88995266,8.119953156,4.629952908
159,53893,13629,6.409953117,12.59328651,24.94995499,31.2799511,33.5999527,31.48662186,30.61328125,25.85995293,20.80661774,14.96661758,7.986619473,4.503286839
160,53894,13630,6.409953117,12.59328651,24.94995499,31.2799511,33.5999527,31.48662186,30.61328125,25.85995293,20.80661774,14.96661758,7.986619473,4.503286839
161,53895,13631,6.78662014,13.47328472,25.79995537,32.42328644,33.61328506,32.00662231,30.69995308,25.65995216,20.21328545,15.34661865,8.24995327,4.733285904
