FID,Id,ORIG_FID,k26_60_1,k26_60_2,k26_60_3,k26_60_4,k26_60_5,k26_60_6,k26_60_7,k26_60_8,k26_60_9,k26_60_10,k26_60_11,k26_60_12
7382,49253,10674,73.31230164,114.8180008,164.3619995,198.1950073,218.4309998,226.0110016,213.901001,187.4320068,151.4440002,109.8079987,72.73339844,59.68180084
7383,49254,10675,73.36630249,114.8600006,164.9810028,198.2649994,217.0700073,224.9190063,212.723999,186.5549927,150.8880005,109.3190002,72.70700073,59.38830185
7384,49255,10676,73.09940338,114.6269989,164.8240051,197.7949982,214.9589996,222.0319977,210.2839966,184.6239929,149.6089935,108.2600021,72.53730011,59.23089981
7385,49256,10677,72.85310364,114.4749985,164.7480011,197.1970062,212.5789948,219.3670044,206.6060028,182.6349945,148.0820007,107.3479996,72.39949799,59.29520035
7386,49257,10678,72.6269989,114.4820023,165.0249939,196.6519928,210.2709961,215.5269928,202.4320068,180.8220062,146.5469971,106.625,72.41799927,59.33340073
7387,49258,10679,72.55770111,114.5510025,165.1790009,196.272995,207.5599976,212.1109924,197.1959991,178.3679962,144.9499969,106.1139984,72.30709839,59.26350021
7388,49259,10680,73.11370087,114.8199997,164.121994,194.7420044,204.8910065,207.0590057,191.098999,175.2330017,143.727005,105.4830017,72.43319702,59.46709824
7389,49260,10681,73.25469971,114.1269989,160.9190063,191.2749939,201.8370056,202.3950043,185.5679932,171.826004,142.2449951,104.7710037,72.16390228,59.24129868
7390,49261,10682,72.89099884,113.3710022,157.7960052,188.2429962,200.0650024,199.7669983,182.6159973,169.7700043,141.0919952,104.3270035,71.81330109,58.87329865
7391,49262,10683,72.92199707,113.6920013,157.1999969,187.3070068,199.6199951,199.7350006,182.6999969,169.8000031,141.0980072,104.1080017,71.54170227,58.89590073
7392,49263,10684,72.88150024,113.8040009,157.2539978,186.6269989,199.8639984,199.7779999,183.6869965,170.2590027,140.973999,103.6719971,71.07180023,58.81370163
7393,49264,10685,72.56559753,113.4720001,157.2059937,185.3540039,199.3309937,199.1840057,183.9179993,170.3119965,140.5399933,102.836998,70.34680176,58.46490097
7394,49265,10686,72.06240082,112.8960037,157.0169983,183.5480042,197.4279938,196.951004,182.1159973,168.8190002,139.5540009,101.7730026,69.70290375,58.02130127
7395,49266,10687,71.40969849,111.9440002,156.2109985,180.6849976,194.1470032,193.345993,179.8139954,166.2299957,138.0670013,100.401001,69.14489746,57.4756012
7396,49267,10688,70.35700226,109.9830017,154.0980072,176.7599945,189.2689972,188.6419983,176.2680054,162.0350037,135.1990051,98.3934021,68.01280212,56.55099869
7397,49268,10689,69.03869629,107.3769989,151.0839996,171.7330017,183.0910034,182.3070068,171.5639954,156.5540009,131.5,96.07569885,66.66680145,55.46250153
7398,49269,10690,67.97389984,105.2559967,148.3930054,167.4720001,177.7590027,176.7460022,167.7039948,152.0839996,128.1009979,94.03990173,65.55400085,54.62829971
7399,49270,10691,67.13529968,104.2180023,146.4810028,164.4490051,173.2480011,172.3040009,164.897995,148.3110046,125.5599976,92.64959717,64.62860107,54.04779816
7400,49271,10692,66.60040283,104.0159988,145.8670044,163.1799927,169.8849945,169.2519989,163.022995,145.4309998,123.8310013,91.60389709,63.90800095,53.60449982
7401,49272,10693,66.58190155,104.6070023,147.0780029,164.4869995,169.1130066,169.6419983,163.1970062,144.7980042,124.185997,91.12830353,63.89640045,53.17179871
7402,49273,10694,66.50170135,104.2949982,146.5390015,164.6790009,167.9620056,170.5149994,162.7660065,144.4049988,125.0029984,90.93430328,64.4484024,53.15380096
7403,49274,10695,65.67880249,102.2259979,142.8739929,162.6909943,165.4839935,168.5070038,160.2630005,142.1470032,124.3679962,90.251297,64.44419861,52.58209991
7404,49275,10696,63.41210175,97.77330017,135.3950043,157.6190033,160.7940063,163.0180054,153.8809967,136.5010071,120.0970001,88.02999878,62.93009949,50.56740189
7405,49276,10697,59.29679871,91.63990021,128.6419983,154.75,160.3359985,160.3739929,150.923996,134.0200043,119.072998,87.49389648,61.08570099,47.57360077
7406,49277,10698,55.16120148,85.48670197,122.9100037,152.404007,160.3399963,158.6060028,148.5420074,131.9730072,119.6360016,87.69470215,59.32180023,44.79140091
7407,49278,10699,49.21379852,78.19999695,118.5940018,152.3820038,162.6719971,160.4340057,149.2079926,132.8869934,120.7200012,87.85140228,56.65250015,40.40930176
7408,49281,10700,37.44860077,63.98680115,105.0309982,149.4349976,163.5350037,163.6049957,147.7480011,133.4850006,121.4830017,83.42250061,46.77880096,30.08390045
7409,49282,10701,36.73709869,63.39379883,103.4250031,147.9629974,162.3320007,163.8589935,146.4230042,131.9109955,120.1839981,81.84739685,44.77759933,29.03930092
7410,49283,10702,36.39580154,62.84220123,102.3690033,146.6759949,161.8679962,162.5249939,144.7640076,129.8110046,118.6389999,80.73400116,43.63069916,28.58480072
7411,49289,10703,36.30770111,61.24340057,100.1529999,135.951004,143.8670044,133.5950012,113.8759995,103.0619965,105.9840012,76.60800171,42.66849899,28.90169907
7412,49290,10704,36.18709946,60.67029953,98.57730103,133.496994,140.7339935,130.9570007,110.5299988,100.3560028,103.3550034,75.26499939,42.51679993,28.91160011
